,REF_DATE,GEO,New housing price indexes,UOM,HPI_kitchener_camb_water_ont
275,2003-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",69.6
276,2004-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",69.9
277,2004-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",69.9
278,2004-03,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",69.8
279,2004-04,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",71.2
280,2004-05,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",71.2
281,2004-06,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",71.7
282,2004-07,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",71.5
283,2004-08,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",71.5
284,2004-09,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",72.0
285,2004-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",72.8
286,2004-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",73.9
287,2004-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",74.0
