,REF_DATE,GEO,New housing price indexes,UOM,HPI_troisriv_qc
162,1994-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
163,1994-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
164,1994-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
165,1994-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
166,1994-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
167,1994-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
168,1995-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
169,1995-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
170,1995-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
171,1995-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
172,1995-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
173,1995-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
174,1995-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
175,1995-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
176,1995-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
177,1995-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
178,1995-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
179,1995-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
180,1996-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
181,1996-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
182,1996-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
183,1996-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
184,1996-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
185,1996-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
186,1996-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
187,1996-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
188,1996-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
189,1996-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
190,1996-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
191,1996-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
192,1997-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
193,1997-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
194,1997-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
195,1997-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
196,1997-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
197,1997-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
198,1997-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
199,1997-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
200,1997-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
201,1997-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
202,1997-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
203,1997-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
204,1998-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
205,1998-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
206,1998-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
207,1998-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
208,1998-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
209,1998-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
210,1998-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
211,1998-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
212,1998-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
213,1998-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
214,1998-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
215,1998-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
216,1999-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
217,1999-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
218,1999-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
219,1999-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
220,1999-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
221,1999-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
222,1999-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
223,1999-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
224,1999-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
225,1999-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
226,1999-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
227,1999-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
228,2000-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
229,2000-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
230,2000-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
231,2000-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
232,2000-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
233,2000-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
234,2000-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
235,2000-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
236,2000-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
237,2000-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
238,2000-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
239,2000-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
240,2001-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
241,2001-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
242,2001-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
243,2001-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
244,2001-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
245,2001-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
246,2001-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
247,2001-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
248,2001-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
249,2001-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
250,2001-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
251,2001-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
252,2002-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
253,2002-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
254,2002-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
255,2002-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
256,2002-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
257,2002-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
258,2002-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
259,2002-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
260,2002-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
261,2002-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
262,2002-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
263,2002-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
264,2003-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
265,2003-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
266,2003-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
267,2003-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
268,2003-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
269,2003-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
270,2003-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
271,2003-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
272,2003-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
273,2003-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
274,2003-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
275,2003-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
276,2004-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
277,2004-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
278,2004-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
279,2004-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
280,2004-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
281,2004-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
282,2004-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
283,2004-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
284,2004-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
285,2004-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
286,2004-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
287,2004-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
288,2005-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
289,2005-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
290,2005-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
291,2005-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
292,2005-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
293,2005-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
294,2005-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
295,2005-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
296,2005-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
297,2005-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
298,2005-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
299,2005-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
300,2006-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
301,2006-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
302,2006-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
303,2006-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
304,2006-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
305,2006-06,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
306,2006-07,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
307,2006-08,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
308,2006-09,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
309,2006-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
310,2006-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
311,2006-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
312,2007-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
313,2007-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
314,2007-03,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
315,2007-04,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
316,2007-05,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
