,REF_DATE,GEO,New housing price indexes,UOM,HPI_saskatoon_sask
217,1999-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.4
218,1999-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",46.7
219,1999-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.2
220,1999-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.2
221,1999-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.2
222,1999-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.2
223,1999-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.2
224,1999-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.4
225,1999-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.4
226,1999-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.4
227,1999-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.4
228,2000-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.4
229,2000-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.4
230,2000-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.7
231,2000-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.7
232,2000-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.7
233,2000-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.8
234,2000-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.8
235,2000-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.8
236,2000-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.8
237,2000-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.8
238,2000-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",47.8
239,2000-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",48.0
240,2001-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",48.0
241,2001-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",48.0
242,2001-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",48.8
243,2001-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",48.8
244,2001-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",48.8
245,2001-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.0
246,2001-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.0
247,2001-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.0
248,2001-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.0
249,2001-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.0
250,2001-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.0
251,2001-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.2
252,2002-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.2
253,2002-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.2
254,2002-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.6
255,2002-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.6
256,2002-05,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.6
257,2002-06,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.6
258,2002-07,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.6
259,2002-08,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.6
260,2002-09,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.6
261,2002-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.6
262,2002-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.6
263,2002-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.6
264,2003-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.7
265,2003-02,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",49.7
266,2003-03,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",50.5
267,2003-04,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",50.8
