,REF_DATE,GEO,New housing price indexes,UOM,HPI_calgary_alb
229,2000-02,"Calgary, Alberta",House only,"Index, 201612=100",43.6
230,2000-03,"Calgary, Alberta",House only,"Index, 201612=100",43.7
231,2000-04,"Calgary, Alberta",House only,"Index, 201612=100",43.7
232,2000-05,"Calgary, Alberta",House only,"Index, 201612=100",44.0
233,2000-06,"Calgary, Alberta",House only,"Index, 201612=100",43.8
234,2000-07,"Calgary, Alberta",House only,"Index, 201612=100",44.0
235,2000-08,"Calgary, Alberta",House only,"Index, 201612=100",44.0
236,2000-09,"Calgary, Alberta",House only,"Index, 201612=100",44.0
237,2000-10,"Calgary, Alberta",House only,"Index, 201612=100",44.1
238,2000-11,"Calgary, Alberta",House only,"Index, 201612=100",44.1
239,2000-12,"Calgary, Alberta",House only,"Index, 201612=100",44.1
240,2001-01,"Calgary, Alberta",House only,"Index, 201612=100",44.2
241,2001-02,"Calgary, Alberta",House only,"Index, 201612=100",44.3
242,2001-03,"Calgary, Alberta",House only,"Index, 201612=100",44.4
243,2001-04,"Calgary, Alberta",House only,"Index, 201612=100",44.4
244,2001-05,"Calgary, Alberta",House only,"Index, 201612=100",44.4
245,2001-06,"Calgary, Alberta",House only,"Index, 201612=100",44.8
246,2001-07,"Calgary, Alberta",House only,"Index, 201612=100",45.0
247,2001-08,"Calgary, Alberta",House only,"Index, 201612=100",45.0
248,2001-09,"Calgary, Alberta",House only,"Index, 201612=100",45.2
249,2001-10,"Calgary, Alberta",House only,"Index, 201612=100",45.2
250,2001-11,"Calgary, Alberta",House only,"Index, 201612=100",45.6
251,2001-12,"Calgary, Alberta",House only,"Index, 201612=100",45.7
252,2002-01,"Calgary, Alberta",House only,"Index, 201612=100",46.0
253,2002-02,"Calgary, Alberta",House only,"Index, 201612=100",46.2
254,2002-03,"Calgary, Alberta",House only,"Index, 201612=100",46.9
255,2002-04,"Calgary, Alberta",House only,"Index, 201612=100",47.1
256,2002-05,"Calgary, Alberta",House only,"Index, 201612=100",47.6
257,2002-06,"Calgary, Alberta",House only,"Index, 201612=100",47.8
258,2002-07,"Calgary, Alberta",House only,"Index, 201612=100",47.9
