,REF_DATE,GEO,New housing price indexes,UOM,HPI_vancouver_bc
197,1997-06,"Vancouver, British Columbia",House only,"Index, 201612=100",79.4
198,1997-07,"Vancouver, British Columbia",House only,"Index, 201612=100",78.6
199,1997-08,"Vancouver, British Columbia",House only,"Index, 201612=100",78.1
200,1997-09,"Vancouver, British Columbia",House only,"Index, 201612=100",77.8
201,1997-10,"Vancouver, British Columbia",House only,"Index, 201612=100",76.4
202,1997-11,"Vancouver, British Columbia",House only,"Index, 201612=100",76.0
203,1997-12,"Vancouver, British Columbia",House only,"Index, 201612=100",76.2
204,1998-01,"Vancouver, British Columbia",House only,"Index, 201612=100",75.2
205,1998-02,"Vancouver, British Columbia",House only,"Index, 201612=100",74.9
206,1998-03,"Vancouver, British Columbia",House only,"Index, 201612=100",74.5
207,1998-04,"Vancouver, British Columbia",House only,"Index, 201612=100",73.3
208,1998-05,"Vancouver, British Columbia",House only,"Index, 201612=100",73.5
209,1998-06,"Vancouver, British Columbia",House only,"Index, 201612=100",73.2
210,1998-07,"Vancouver, British Columbia",House only,"Index, 201612=100",73.1
211,1998-08,"Vancouver, British Columbia",House only,"Index, 201612=100",72.6
212,1998-09,"Vancouver, British Columbia",House only,"Index, 201612=100",71.8
213,1998-10,"Vancouver, British Columbia",House only,"Index, 201612=100",71.5
214,1998-11,"Vancouver, British Columbia",House only,"Index, 201612=100",71.2
215,1998-12,"Vancouver, British Columbia",House only,"Index, 201612=100",71.0
216,1999-01,"Vancouver, British Columbia",House only,"Index, 201612=100",70.0
217,1999-02,"Vancouver, British Columbia",House only,"Index, 201612=100",69.7
218,1999-03,"Vancouver, British Columbia",House only,"Index, 201612=100",69.7
219,1999-04,"Vancouver, British Columbia",House only,"Index, 201612=100",69.7
220,1999-05,"Vancouver, British Columbia",House only,"Index, 201612=100",69.6
221,1999-06,"Vancouver, British Columbia",House only,"Index, 201612=100",69.4
222,1999-07,"Vancouver, British Columbia",House only,"Index, 201612=100",69.5
223,1999-08,"Vancouver, British Columbia",House only,"Index, 201612=100",69.3
224,1999-09,"Vancouver, British Columbia",House only,"Index, 201612=100",69.0
225,1999-10,"Vancouver, British Columbia",House only,"Index, 201612=100",68.8
226,1999-11,"Vancouver, British Columbia",House only,"Index, 201612=100",68.8
227,1999-12,"Vancouver, British Columbia",House only,"Index, 201612=100",69.1
228,2000-01,"Vancouver, British Columbia",House only,"Index, 201612=100",69.0
229,2000-02,"Vancouver, British Columbia",House only,"Index, 201612=100",69.2
230,2000-03,"Vancouver, British Columbia",House only,"Index, 201612=100",68.6
231,2000-04,"Vancouver, British Columbia",House only,"Index, 201612=100",68.7
232,2000-05,"Vancouver, British Columbia",House only,"Index, 201612=100",68.6
233,2000-06,"Vancouver, British Columbia",House only,"Index, 201612=100",68.6
