,REF_DATE,GEO,New housing price indexes,UOM,HPI_ottawa_gatineau_qc
263,2002-12,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
264,2003-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
265,2003-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
266,2003-03,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
267,2003-04,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
268,2003-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
269,2003-06,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
270,2003-07,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
271,2003-08,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
272,2003-09,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
273,2003-10,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
274,2003-11,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
