,REF_DATE,GEO,New housing price indexes,UOM,HPI_charlottetown_pei
156,1994-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
157,1994-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
158,1994-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
159,1994-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
160,1994-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
161,1994-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
162,1994-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
163,1994-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
164,1994-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
165,1994-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
166,1994-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
167,1994-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
168,1995-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.8
169,1995-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.8
170,1995-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.8
171,1995-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.2
172,1995-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.2
173,1995-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
174,1995-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.3
175,1995-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
176,1995-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.9
177,1995-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.9
178,1995-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.8
179,1995-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.5
180,1996-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",87.7
181,1996-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",87.7
182,1996-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.5
183,1996-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",87.9
184,1996-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",87.9
185,1996-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.5
186,1996-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",87.9
187,1996-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.4
188,1996-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.0
189,1996-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.9
