,REF_DATE,GEO,New housing price indexes,UOM,HPI_prairie_region
371,2011-12,Prairie Region,House only,"Index, 201612=100",93.5
372,2012-01,Prairie Region,House only,"Index, 201612=100",93.6
373,2012-02,Prairie Region,House only,"Index, 201612=100",93.6
374,2012-03,Prairie Region,House only,"Index, 201612=100",94.0
375,2012-04,Prairie Region,House only,"Index, 201612=100",94.2
376,2012-05,Prairie Region,House only,"Index, 201612=100",94.3
377,2012-06,Prairie Region,House only,"Index, 201612=100",94.6
378,2012-07,Prairie Region,House only,"Index, 201612=100",94.7
379,2012-08,Prairie Region,House only,"Index, 201612=100",94.8
380,2012-09,Prairie Region,House only,"Index, 201612=100",95.0
381,2012-10,Prairie Region,House only,"Index, 201612=100",95.2
382,2012-11,Prairie Region,House only,"Index, 201612=100",95.3
383,2012-12,Prairie Region,House only,"Index, 201612=100",95.7
384,2013-01,Prairie Region,House only,"Index, 201612=100",95.9
385,2013-02,Prairie Region,House only,"Index, 201612=100",96.4
386,2013-03,Prairie Region,House only,"Index, 201612=100",96.7
387,2013-04,Prairie Region,House only,"Index, 201612=100",97.1
388,2013-05,Prairie Region,House only,"Index, 201612=100",97.5
389,2013-06,Prairie Region,House only,"Index, 201612=100",97.8
390,2013-07,Prairie Region,House only,"Index, 201612=100",98.0
391,2013-08,Prairie Region,House only,"Index, 201612=100",98.4
392,2013-09,Prairie Region,House only,"Index, 201612=100",98.5
393,2013-10,Prairie Region,House only,"Index, 201612=100",98.6
394,2013-11,Prairie Region,House only,"Index, 201612=100",98.7
395,2013-12,Prairie Region,House only,"Index, 201612=100",98.8
396,2014-01,Prairie Region,House only,"Index, 201612=100",99.5
397,2014-02,Prairie Region,House only,"Index, 201612=100",100.1
398,2014-03,Prairie Region,House only,"Index, 201612=100",100.5
399,2014-04,Prairie Region,House only,"Index, 201612=100",100.6
400,2014-05,Prairie Region,House only,"Index, 201612=100",101.1
401,2014-06,Prairie Region,House only,"Index, 201612=100",101.3
402,2014-07,Prairie Region,House only,"Index, 201612=100",101.4
403,2014-08,Prairie Region,House only,"Index, 201612=100",101.5
404,2014-09,Prairie Region,House only,"Index, 201612=100",101.6
405,2014-10,Prairie Region,House only,"Index, 201612=100",101.7
406,2014-11,Prairie Region,House only,"Index, 201612=100",101.9
407,2014-12,Prairie Region,House only,"Index, 201612=100",101.9
408,2015-01,Prairie Region,House only,"Index, 201612=100",101.8
409,2015-02,Prairie Region,House only,"Index, 201612=100",101.8
410,2015-03,Prairie Region,House only,"Index, 201612=100",101.4
411,2015-04,Prairie Region,House only,"Index, 201612=100",101.2
412,2015-05,Prairie Region,House only,"Index, 201612=100",101.3
413,2015-06,Prairie Region,House only,"Index, 201612=100",101.0
414,2015-07,Prairie Region,House only,"Index, 201612=100",101.0
415,2015-08,Prairie Region,House only,"Index, 201612=100",101.0
416,2015-09,Prairie Region,House only,"Index, 201612=100",100.9
417,2015-10,Prairie Region,House only,"Index, 201612=100",101.1
418,2015-11,Prairie Region,House only,"Index, 201612=100",101.1
419,2015-12,Prairie Region,House only,"Index, 201612=100",101.1
420,2016-01,Prairie Region,House only,"Index, 201612=100",101.1
421,2016-02,Prairie Region,House only,"Index, 201612=100",100.8
422,2016-03,Prairie Region,House only,"Index, 201612=100",100.8
423,2016-04,Prairie Region,House only,"Index, 201612=100",100.8
424,2016-05,Prairie Region,House only,"Index, 201612=100",100.6
425,2016-06,Prairie Region,House only,"Index, 201612=100",100.0
426,2016-07,Prairie Region,House only,"Index, 201612=100",100.1
427,2016-08,Prairie Region,House only,"Index, 201612=100",100.0
428,2016-09,Prairie Region,House only,"Index, 201612=100",99.8
429,2016-10,Prairie Region,House only,"Index, 201612=100",99.7
430,2016-11,Prairie Region,House only,"Index, 201612=100",99.8
431,2016-12,Prairie Region,House only,"Index, 201612=100",100.0
432,2017-01,Prairie Region,House only,"Index, 201612=100",100.0
433,2017-02,Prairie Region,House only,"Index, 201612=100",100.1
434,2017-03,Prairie Region,House only,"Index, 201612=100",100.1
435,2017-04,Prairie Region,House only,"Index, 201612=100",100.2
