,REF_DATE,GEO,New housing price indexes,UOM,HPI_quebec_qc
163,1994-08,"Québec, Quebec",House only,"Index, 201612=100",61.3
164,1994-09,"Québec, Quebec",House only,"Index, 201612=100",61.3
165,1994-10,"Québec, Quebec",House only,"Index, 201612=100",61.3
166,1994-11,"Québec, Quebec",House only,"Index, 201612=100",61.4
167,1994-12,"Québec, Quebec",House only,"Index, 201612=100",61.4
168,1995-01,"Québec, Quebec",House only,"Index, 201612=100",61.4
169,1995-02,"Québec, Quebec",House only,"Index, 201612=100",61.5
170,1995-03,"Québec, Quebec",House only,"Index, 201612=100",61.7
171,1995-04,"Québec, Quebec",House only,"Index, 201612=100",61.7
172,1995-05,"Québec, Quebec",House only,"Index, 201612=100",61.9
173,1995-06,"Québec, Quebec",House only,"Index, 201612=100",61.9
174,1995-07,"Québec, Quebec",House only,"Index, 201612=100",61.9
175,1995-08,"Québec, Quebec",House only,"Index, 201612=100",62.1
176,1995-09,"Québec, Quebec",House only,"Index, 201612=100",62.1
177,1995-10,"Québec, Quebec",House only,"Index, 201612=100",62.1
178,1995-11,"Québec, Quebec",House only,"Index, 201612=100",62.1
179,1995-12,"Québec, Quebec",House only,"Index, 201612=100",62.1
180,1996-01,"Québec, Quebec",House only,"Index, 201612=100",61.7
181,1996-02,"Québec, Quebec",House only,"Index, 201612=100",62.3
182,1996-03,"Québec, Quebec",House only,"Index, 201612=100",61.6
183,1996-04,"Québec, Quebec",House only,"Index, 201612=100",61.4
184,1996-05,"Québec, Quebec",House only,"Index, 201612=100",61.4
185,1996-06,"Québec, Quebec",House only,"Index, 201612=100",61.4
186,1996-07,"Québec, Quebec",House only,"Index, 201612=100",61.4
187,1996-08,"Québec, Quebec",House only,"Index, 201612=100",61.4
188,1996-09,"Québec, Quebec",House only,"Index, 201612=100",61.8
189,1996-10,"Québec, Quebec",House only,"Index, 201612=100",61.8
190,1996-11,"Québec, Quebec",House only,"Index, 201612=100",61.7
191,1996-12,"Québec, Quebec",House only,"Index, 201612=100",61.7
192,1997-01,"Québec, Quebec",House only,"Index, 201612=100",61.7
193,1997-02,"Québec, Quebec",House only,"Index, 201612=100",61.9
194,1997-03,"Québec, Quebec",House only,"Index, 201612=100",61.9
195,1997-04,"Québec, Quebec",House only,"Index, 201612=100",61.4
196,1997-05,"Québec, Quebec",House only,"Index, 201612=100",61.2
197,1997-06,"Québec, Quebec",House only,"Index, 201612=100",61.1
198,1997-07,"Québec, Quebec",House only,"Index, 201612=100",61.1
199,1997-08,"Québec, Quebec",House only,"Index, 201612=100",61.2
200,1997-09,"Québec, Quebec",House only,"Index, 201612=100",61.2
201,1997-10,"Québec, Quebec",House only,"Index, 201612=100",61.4
202,1997-11,"Québec, Quebec",House only,"Index, 201612=100",61.5
203,1997-12,"Québec, Quebec",House only,"Index, 201612=100",61.5
204,1998-01,"Québec, Quebec",House only,"Index, 201612=100",61.5
205,1998-02,"Québec, Quebec",House only,"Index, 201612=100",61.6
206,1998-03,"Québec, Quebec",House only,"Index, 201612=100",61.6
207,1998-04,"Québec, Quebec",House only,"Index, 201612=100",61.7
208,1998-05,"Québec, Quebec",House only,"Index, 201612=100",61.6
209,1998-06,"Québec, Quebec",House only,"Index, 201612=100",61.6
