,REF_DATE,GEO,New housing price indexes,UOM,HPI_guelph_ont
137,1992-06,"Guelph, Ontario",House only,"Index, 201612=100",
138,1992-07,"Guelph, Ontario",House only,"Index, 201612=100",
139,1992-08,"Guelph, Ontario",House only,"Index, 201612=100",
140,1992-09,"Guelph, Ontario",House only,"Index, 201612=100",
141,1992-10,"Guelph, Ontario",House only,"Index, 201612=100",
142,1992-11,"Guelph, Ontario",House only,"Index, 201612=100",
143,1992-12,"Guelph, Ontario",House only,"Index, 201612=100",
144,1993-01,"Guelph, Ontario",House only,"Index, 201612=100",
145,1993-02,"Guelph, Ontario",House only,"Index, 201612=100",
146,1993-03,"Guelph, Ontario",House only,"Index, 201612=100",
147,1993-04,"Guelph, Ontario",House only,"Index, 201612=100",
148,1993-05,"Guelph, Ontario",House only,"Index, 201612=100",
149,1993-06,"Guelph, Ontario",House only,"Index, 201612=100",
150,1993-07,"Guelph, Ontario",House only,"Index, 201612=100",
151,1993-08,"Guelph, Ontario",House only,"Index, 201612=100",
152,1993-09,"Guelph, Ontario",House only,"Index, 201612=100",
153,1993-10,"Guelph, Ontario",House only,"Index, 201612=100",
154,1993-11,"Guelph, Ontario",House only,"Index, 201612=100",
155,1993-12,"Guelph, Ontario",House only,"Index, 201612=100",
156,1994-01,"Guelph, Ontario",House only,"Index, 201612=100",
157,1994-02,"Guelph, Ontario",House only,"Index, 201612=100",
158,1994-03,"Guelph, Ontario",House only,"Index, 201612=100",
159,1994-04,"Guelph, Ontario",House only,"Index, 201612=100",
160,1994-05,"Guelph, Ontario",House only,"Index, 201612=100",
161,1994-06,"Guelph, Ontario",House only,"Index, 201612=100",
162,1994-07,"Guelph, Ontario",House only,"Index, 201612=100",
163,1994-08,"Guelph, Ontario",House only,"Index, 201612=100",
164,1994-09,"Guelph, Ontario",House only,"Index, 201612=100",
165,1994-10,"Guelph, Ontario",House only,"Index, 201612=100",
166,1994-11,"Guelph, Ontario",House only,"Index, 201612=100",
167,1994-12,"Guelph, Ontario",House only,"Index, 201612=100",
168,1995-01,"Guelph, Ontario",House only,"Index, 201612=100",
169,1995-02,"Guelph, Ontario",House only,"Index, 201612=100",
170,1995-03,"Guelph, Ontario",House only,"Index, 201612=100",
171,1995-04,"Guelph, Ontario",House only,"Index, 201612=100",
172,1995-05,"Guelph, Ontario",House only,"Index, 201612=100",
173,1995-06,"Guelph, Ontario",House only,"Index, 201612=100",
174,1995-07,"Guelph, Ontario",House only,"Index, 201612=100",
175,1995-08,"Guelph, Ontario",House only,"Index, 201612=100",
176,1995-09,"Guelph, Ontario",House only,"Index, 201612=100",
177,1995-10,"Guelph, Ontario",House only,"Index, 201612=100",
178,1995-11,"Guelph, Ontario",House only,"Index, 201612=100",
179,1995-12,"Guelph, Ontario",House only,"Index, 201612=100",
180,1996-01,"Guelph, Ontario",House only,"Index, 201612=100",
181,1996-02,"Guelph, Ontario",House only,"Index, 201612=100",
182,1996-03,"Guelph, Ontario",House only,"Index, 201612=100",
183,1996-04,"Guelph, Ontario",House only,"Index, 201612=100",
184,1996-05,"Guelph, Ontario",House only,"Index, 201612=100",
185,1996-06,"Guelph, Ontario",House only,"Index, 201612=100",
186,1996-07,"Guelph, Ontario",House only,"Index, 201612=100",
187,1996-08,"Guelph, Ontario",House only,"Index, 201612=100",
188,1996-09,"Guelph, Ontario",House only,"Index, 201612=100",
189,1996-10,"Guelph, Ontario",House only,"Index, 201612=100",
190,1996-11,"Guelph, Ontario",House only,"Index, 201612=100",
191,1996-12,"Guelph, Ontario",House only,"Index, 201612=100",
192,1997-01,"Guelph, Ontario",House only,"Index, 201612=100",
193,1997-02,"Guelph, Ontario",House only,"Index, 201612=100",
194,1997-03,"Guelph, Ontario",House only,"Index, 201612=100",
195,1997-04,"Guelph, Ontario",House only,"Index, 201612=100",
196,1997-05,"Guelph, Ontario",House only,"Index, 201612=100",
197,1997-06,"Guelph, Ontario",House only,"Index, 201612=100",
198,1997-07,"Guelph, Ontario",House only,"Index, 201612=100",
199,1997-08,"Guelph, Ontario",House only,"Index, 201612=100",
200,1997-09,"Guelph, Ontario",House only,"Index, 201612=100",
201,1997-10,"Guelph, Ontario",House only,"Index, 201612=100",
202,1997-11,"Guelph, Ontario",House only,"Index, 201612=100",
203,1997-12,"Guelph, Ontario",House only,"Index, 201612=100",
204,1998-01,"Guelph, Ontario",House only,"Index, 201612=100",
205,1998-02,"Guelph, Ontario",House only,"Index, 201612=100",
206,1998-03,"Guelph, Ontario",House only,"Index, 201612=100",
207,1998-04,"Guelph, Ontario",House only,"Index, 201612=100",
208,1998-05,"Guelph, Ontario",House only,"Index, 201612=100",
209,1998-06,"Guelph, Ontario",House only,"Index, 201612=100",
210,1998-07,"Guelph, Ontario",House only,"Index, 201612=100",
211,1998-08,"Guelph, Ontario",House only,"Index, 201612=100",
212,1998-09,"Guelph, Ontario",House only,"Index, 201612=100",
213,1998-10,"Guelph, Ontario",House only,"Index, 201612=100",
214,1998-11,"Guelph, Ontario",House only,"Index, 201612=100",
215,1998-12,"Guelph, Ontario",House only,"Index, 201612=100",
216,1999-01,"Guelph, Ontario",House only,"Index, 201612=100",
217,1999-02,"Guelph, Ontario",House only,"Index, 201612=100",
218,1999-03,"Guelph, Ontario",House only,"Index, 201612=100",
219,1999-04,"Guelph, Ontario",House only,"Index, 201612=100",
220,1999-05,"Guelph, Ontario",House only,"Index, 201612=100",
221,1999-06,"Guelph, Ontario",House only,"Index, 201612=100",
222,1999-07,"Guelph, Ontario",House only,"Index, 201612=100",
223,1999-08,"Guelph, Ontario",House only,"Index, 201612=100",
224,1999-09,"Guelph, Ontario",House only,"Index, 201612=100",
225,1999-10,"Guelph, Ontario",House only,"Index, 201612=100",
226,1999-11,"Guelph, Ontario",House only,"Index, 201612=100",
227,1999-12,"Guelph, Ontario",House only,"Index, 201612=100",
228,2000-01,"Guelph, Ontario",House only,"Index, 201612=100",
229,2000-02,"Guelph, Ontario",House only,"Index, 201612=100",
230,2000-03,"Guelph, Ontario",House only,"Index, 201612=100",
