,REF_DATE,GEO,New housing price indexes,UOM,HPI_edmonton_alb
199,1997-08,"Edmonton, Alberta",House only,"Index, 201612=100",49.4
200,1997-09,"Edmonton, Alberta",House only,"Index, 201612=100",49.4
201,1997-10,"Edmonton, Alberta",House only,"Index, 201612=100",49.8
202,1997-11,"Edmonton, Alberta",House only,"Index, 201612=100",49.8
203,1997-12,"Edmonton, Alberta",House only,"Index, 201612=100",50.0
204,1998-01,"Edmonton, Alberta",House only,"Index, 201612=100",50.5
205,1998-02,"Edmonton, Alberta",House only,"Index, 201612=100",50.5
206,1998-03,"Edmonton, Alberta",House only,"Index, 201612=100",50.8
207,1998-04,"Edmonton, Alberta",House only,"Index, 201612=100",51.0
208,1998-05,"Edmonton, Alberta",House only,"Index, 201612=100",51.3
209,1998-06,"Edmonton, Alberta",House only,"Index, 201612=100",51.3
210,1998-07,"Edmonton, Alberta",House only,"Index, 201612=100",51.4
211,1998-08,"Edmonton, Alberta",House only,"Index, 201612=100",51.3
212,1998-09,"Edmonton, Alberta",House only,"Index, 201612=100",51.4
213,1998-10,"Edmonton, Alberta",House only,"Index, 201612=100",51.5
214,1998-11,"Edmonton, Alberta",House only,"Index, 201612=100",51.6
215,1998-12,"Edmonton, Alberta",House only,"Index, 201612=100",51.6
216,1999-01,"Edmonton, Alberta",House only,"Index, 201612=100",51.7
217,1999-02,"Edmonton, Alberta",House only,"Index, 201612=100",51.7
218,1999-03,"Edmonton, Alberta",House only,"Index, 201612=100",51.8
219,1999-04,"Edmonton, Alberta",House only,"Index, 201612=100",51.7
220,1999-05,"Edmonton, Alberta",House only,"Index, 201612=100",51.8
221,1999-06,"Edmonton, Alberta",House only,"Index, 201612=100",51.8
222,1999-07,"Edmonton, Alberta",House only,"Index, 201612=100",52.1
223,1999-08,"Edmonton, Alberta",House only,"Index, 201612=100",52.6
224,1999-09,"Edmonton, Alberta",House only,"Index, 201612=100",52.7
225,1999-10,"Edmonton, Alberta",House only,"Index, 201612=100",52.7
226,1999-11,"Edmonton, Alberta",House only,"Index, 201612=100",53.0
227,1999-12,"Edmonton, Alberta",House only,"Index, 201612=100",53.0
228,2000-01,"Edmonton, Alberta",House only,"Index, 201612=100",53.2
229,2000-02,"Edmonton, Alberta",House only,"Index, 201612=100",53.2
230,2000-03,"Edmonton, Alberta",House only,"Index, 201612=100",53.4
231,2000-04,"Edmonton, Alberta",House only,"Index, 201612=100",53.4
232,2000-05,"Edmonton, Alberta",House only,"Index, 201612=100",53.7
233,2000-06,"Edmonton, Alberta",House only,"Index, 201612=100",53.8
234,2000-07,"Edmonton, Alberta",House only,"Index, 201612=100",53.8
235,2000-08,"Edmonton, Alberta",House only,"Index, 201612=100",53.9
236,2000-09,"Edmonton, Alberta",House only,"Index, 201612=100",53.5
237,2000-10,"Edmonton, Alberta",House only,"Index, 201612=100",53.5
238,2000-11,"Edmonton, Alberta",House only,"Index, 201612=100",53.5
239,2000-12,"Edmonton, Alberta",House only,"Index, 201612=100",53.5
240,2001-01,"Edmonton, Alberta",House only,"Index, 201612=100",53.5
241,2001-02,"Edmonton, Alberta",House only,"Index, 201612=100",53.5
242,2001-03,"Edmonton, Alberta",House only,"Index, 201612=100",53.6
243,2001-04,"Edmonton, Alberta",House only,"Index, 201612=100",53.9
244,2001-05,"Edmonton, Alberta",House only,"Index, 201612=100",53.9
245,2001-06,"Edmonton, Alberta",House only,"Index, 201612=100",54.1
246,2001-07,"Edmonton, Alberta",House only,"Index, 201612=100",54.5
247,2001-08,"Edmonton, Alberta",House only,"Index, 201612=100",54.7
248,2001-09,"Edmonton, Alberta",House only,"Index, 201612=100",54.8
249,2001-10,"Edmonton, Alberta",House only,"Index, 201612=100",54.9
250,2001-11,"Edmonton, Alberta",House only,"Index, 201612=100",55.2
251,2001-12,"Edmonton, Alberta",House only,"Index, 201612=100",55.4
252,2002-01,"Edmonton, Alberta",House only,"Index, 201612=100",55.8
253,2002-02,"Edmonton, Alberta",House only,"Index, 201612=100",56.9
254,2002-03,"Edmonton, Alberta",House only,"Index, 201612=100",57.7
255,2002-04,"Edmonton, Alberta",House only,"Index, 201612=100",58.1
256,2002-05,"Edmonton, Alberta",House only,"Index, 201612=100",58.9
257,2002-06,"Edmonton, Alberta",House only,"Index, 201612=100",59.5
258,2002-07,"Edmonton, Alberta",House only,"Index, 201612=100",59.8
259,2002-08,"Edmonton, Alberta",House only,"Index, 201612=100",60.0
260,2002-09,"Edmonton, Alberta",House only,"Index, 201612=100",60.3
261,2002-10,"Edmonton, Alberta",House only,"Index, 201612=100",60.4
262,2002-11,"Edmonton, Alberta",House only,"Index, 201612=100",61.3
263,2002-12,"Edmonton, Alberta",House only,"Index, 201612=100",61.4
264,2003-01,"Edmonton, Alberta",House only,"Index, 201612=100",61.8
265,2003-02,"Edmonton, Alberta",House only,"Index, 201612=100",62.3
266,2003-03,"Edmonton, Alberta",House only,"Index, 201612=100",62.4
267,2003-04,"Edmonton, Alberta",House only,"Index, 201612=100",62.4
268,2003-05,"Edmonton, Alberta",House only,"Index, 201612=100",62.4
269,2003-06,"Edmonton, Alberta",House only,"Index, 201612=100",62.5
270,2003-07,"Edmonton, Alberta",House only,"Index, 201612=100",62.5
271,2003-08,"Edmonton, Alberta",House only,"Index, 201612=100",62.6
272,2003-09,"Edmonton, Alberta",House only,"Index, 201612=100",63.7
273,2003-10,"Edmonton, Alberta",House only,"Index, 201612=100",64.3
274,2003-11,"Edmonton, Alberta",House only,"Index, 201612=100",64.4
275,2003-12,"Edmonton, Alberta",House only,"Index, 201612=100",64.4
276,2004-01,"Edmonton, Alberta",House only,"Index, 201612=100",64.6
277,2004-02,"Edmonton, Alberta",House only,"Index, 201612=100",64.4
278,2004-03,"Edmonton, Alberta",House only,"Index, 201612=100",64.6
279,2004-04,"Edmonton, Alberta",House only,"Index, 201612=100",64.9
280,2004-05,"Edmonton, Alberta",House only,"Index, 201612=100",65.2
281,2004-06,"Edmonton, Alberta",House only,"Index, 201612=100",65.8
282,2004-07,"Edmonton, Alberta",House only,"Index, 201612=100",66.0
283,2004-08,"Edmonton, Alberta",House only,"Index, 201612=100",66.0
284,2004-09,"Edmonton, Alberta",House only,"Index, 201612=100",66.2
285,2004-10,"Edmonton, Alberta",House only,"Index, 201612=100",66.8
286,2004-11,"Edmonton, Alberta",House only,"Index, 201612=100",66.9
287,2004-12,"Edmonton, Alberta",House only,"Index, 201612=100",67.0
288,2005-01,"Edmonton, Alberta",House only,"Index, 201612=100",67.0
289,2005-02,"Edmonton, Alberta",House only,"Index, 201612=100",67.7
290,2005-03,"Edmonton, Alberta",House only,"Index, 201612=100",68.1
291,2005-04,"Edmonton, Alberta",House only,"Index, 201612=100",68.2
292,2005-05,"Edmonton, Alberta",House only,"Index, 201612=100",68.4
293,2005-06,"Edmonton, Alberta",House only,"Index, 201612=100",69.3
294,2005-07,"Edmonton, Alberta",House only,"Index, 201612=100",69.7
295,2005-08,"Edmonton, Alberta",House only,"Index, 201612=100",70.0
296,2005-09,"Edmonton, Alberta",House only,"Index, 201612=100",70.7
297,2005-10,"Edmonton, Alberta",House only,"Index, 201612=100",71.2
298,2005-11,"Edmonton, Alberta",House only,"Index, 201612=100",71.7
299,2005-12,"Edmonton, Alberta",House only,"Index, 201612=100",72.8
300,2006-01,"Edmonton, Alberta",House only,"Index, 201612=100",75.0
301,2006-02,"Edmonton, Alberta",House only,"Index, 201612=100",76.0
302,2006-03,"Edmonton, Alberta",House only,"Index, 201612=100",77.4
303,2006-04,"Edmonton, Alberta",House only,"Index, 201612=100",79.7
304,2006-05,"Edmonton, Alberta",House only,"Index, 201612=100",83.5
305,2006-06,"Edmonton, Alberta",House only,"Index, 201612=100",88.0
306,2006-07,"Edmonton, Alberta",House only,"Index, 201612=100",89.1
307,2006-08,"Edmonton, Alberta",House only,"Index, 201612=100",93.2
308,2006-09,"Edmonton, Alberta",House only,"Index, 201612=100",95.9
309,2006-10,"Edmonton, Alberta",House only,"Index, 201612=100",97.7
310,2006-11,"Edmonton, Alberta",House only,"Index, 201612=100",99.3
311,2006-12,"Edmonton, Alberta",House only,"Index, 201612=100",99.5
312,2007-01,"Edmonton, Alberta",House only,"Index, 201612=100",101.1
313,2007-02,"Edmonton, Alberta",House only,"Index, 201612=100",104.0
314,2007-03,"Edmonton, Alberta",House only,"Index, 201612=100",104.0
315,2007-04,"Edmonton, Alberta",House only,"Index, 201612=100",107.0
316,2007-05,"Edmonton, Alberta",House only,"Index, 201612=100",111.1
317,2007-06,"Edmonton, Alberta",House only,"Index, 201612=100",111.1
318,2007-07,"Edmonton, Alberta",House only,"Index, 201612=100",116.7
319,2007-08,"Edmonton, Alberta",House only,"Index, 201612=100",117.2
320,2007-09,"Edmonton, Alberta",House only,"Index, 201612=100",117.2
321,2007-10,"Edmonton, Alberta",House only,"Index, 201612=100",117.2
322,2007-11,"Edmonton, Alberta",House only,"Index, 201612=100",117.2
323,2007-12,"Edmonton, Alberta",House only,"Index, 201612=100",117.2
324,2008-01,"Edmonton, Alberta",House only,"Index, 201612=100",116.5
325,2008-02,"Edmonton, Alberta",House only,"Index, 201612=100",115.0
326,2008-03,"Edmonton, Alberta",House only,"Index, 201612=100",113.1
327,2008-04,"Edmonton, Alberta",House only,"Index, 201612=100",112.0
328,2008-05,"Edmonton, Alberta",House only,"Index, 201612=100",109.3
329,2008-06,"Edmonton, Alberta",House only,"Index, 201612=100",107.9
330,2008-07,"Edmonton, Alberta",House only,"Index, 201612=100",107.2
331,2008-08,"Edmonton, Alberta",House only,"Index, 201612=100",107.1
332,2008-09,"Edmonton, Alberta",House only,"Index, 201612=100",107.0
333,2008-10,"Edmonton, Alberta",House only,"Index, 201612=100",102.6
334,2008-11,"Edmonton, Alberta",House only,"Index, 201612=100",102.2
335,2008-12,"Edmonton, Alberta",House only,"Index, 201612=100",102.2
336,2009-01,"Edmonton, Alberta",House only,"Index, 201612=100",100.2
337,2009-02,"Edmonton, Alberta",House only,"Index, 201612=100",98.4
338,2009-03,"Edmonton, Alberta",House only,"Index, 201612=100",98.0
339,2009-04,"Edmonton, Alberta",House only,"Index, 201612=100",97.3
340,2009-05,"Edmonton, Alberta",House only,"Index, 201612=100",97.2
341,2009-06,"Edmonton, Alberta",House only,"Index, 201612=100",96.1
342,2009-07,"Edmonton, Alberta",House only,"Index, 201612=100",96.7
343,2009-08,"Edmonton, Alberta",House only,"Index, 201612=100",96.8
344,2009-09,"Edmonton, Alberta",House only,"Index, 201612=100",97.0
345,2009-10,"Edmonton, Alberta",House only,"Index, 201612=100",97.3
346,2009-11,"Edmonton, Alberta",House only,"Index, 201612=100",97.5
347,2009-12,"Edmonton, Alberta",House only,"Index, 201612=100",97.7
348,2010-01,"Edmonton, Alberta",House only,"Index, 201612=100",98.3
349,2010-02,"Edmonton, Alberta",House only,"Index, 201612=100",98.7
350,2010-03,"Edmonton, Alberta",House only,"Index, 201612=100",99.1
351,2010-04,"Edmonton, Alberta",House only,"Index, 201612=100",99.1
352,2010-05,"Edmonton, Alberta",House only,"Index, 201612=100",99.5
353,2010-06,"Edmonton, Alberta",House only,"Index, 201612=100",99.3
354,2010-07,"Edmonton, Alberta",House only,"Index, 201612=100",99.3
355,2010-08,"Edmonton, Alberta",House only,"Index, 201612=100",99.3
356,2010-09,"Edmonton, Alberta",House only,"Index, 201612=100",99.3
357,2010-10,"Edmonton, Alberta",House only,"Index, 201612=100",99.2
358,2010-11,"Edmonton, Alberta",House only,"Index, 201612=100",99.2
359,2010-12,"Edmonton, Alberta",House only,"Index, 201612=100",98.9
360,2011-01,"Edmonton, Alberta",House only,"Index, 201612=100",98.8
361,2011-02,"Edmonton, Alberta",House only,"Index, 201612=100",99.2
362,2011-03,"Edmonton, Alberta",House only,"Index, 201612=100",99.2
363,2011-04,"Edmonton, Alberta",House only,"Index, 201612=100",98.9
364,2011-05,"Edmonton, Alberta",House only,"Index, 201612=100",99.4
365,2011-06,"Edmonton, Alberta",House only,"Index, 201612=100",99.8
366,2011-07,"Edmonton, Alberta",House only,"Index, 201612=100",99.7
367,2011-08,"Edmonton, Alberta",House only,"Index, 201612=100",99.5
368,2011-09,"Edmonton, Alberta",House only,"Index, 201612=100",99.8
369,2011-10,"Edmonton, Alberta",House only,"Index, 201612=100",100.2
370,2011-11,"Edmonton, Alberta",House only,"Index, 201612=100",100.2
371,2011-12,"Edmonton, Alberta",House only,"Index, 201612=100",100.2
372,2012-01,"Edmonton, Alberta",House only,"Index, 201612=100",99.9
373,2012-02,"Edmonton, Alberta",House only,"Index, 201612=100",99.6
374,2012-03,"Edmonton, Alberta",House only,"Index, 201612=100",100.2
375,2012-04,"Edmonton, Alberta",House only,"Index, 201612=100",100.5
376,2012-05,"Edmonton, Alberta",House only,"Index, 201612=100",100.4
377,2012-06,"Edmonton, Alberta",House only,"Index, 201612=100",100.4
378,2012-07,"Edmonton, Alberta",House only,"Index, 201612=100",100.4
379,2012-08,"Edmonton, Alberta",House only,"Index, 201612=100",100.4
380,2012-09,"Edmonton, Alberta",House only,"Index, 201612=100",100.5
381,2012-10,"Edmonton, Alberta",House only,"Index, 201612=100",100.5
382,2012-11,"Edmonton, Alberta",House only,"Index, 201612=100",100.5
383,2012-12,"Edmonton, Alberta",House only,"Index, 201612=100",100.8
