,REF_DATE,GEO,New housing price indexes,UOM,HPI_kelowna_bc
196,1997-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
197,1997-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
198,1997-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
199,1997-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
200,1997-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
201,1997-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
202,1997-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
203,1997-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
204,1998-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
205,1998-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
206,1998-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
207,1998-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
208,1998-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
209,1998-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
210,1998-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
211,1998-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
212,1998-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
213,1998-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
214,1998-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
215,1998-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
216,1999-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
217,1999-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
218,1999-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
219,1999-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
220,1999-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
221,1999-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
222,1999-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
223,1999-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
224,1999-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
225,1999-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
226,1999-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
227,1999-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
228,2000-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
229,2000-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
230,2000-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
231,2000-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
232,2000-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
233,2000-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
234,2000-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
235,2000-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
236,2000-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
237,2000-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
238,2000-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
239,2000-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
240,2001-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
241,2001-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
242,2001-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
243,2001-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
244,2001-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
245,2001-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
246,2001-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
247,2001-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
248,2001-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
249,2001-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
250,2001-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
251,2001-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
252,2002-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
253,2002-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
254,2002-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
255,2002-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
256,2002-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
257,2002-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
258,2002-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
259,2002-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
260,2002-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
261,2002-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
262,2002-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
263,2002-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
264,2003-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
265,2003-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
266,2003-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
267,2003-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
268,2003-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
269,2003-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
270,2003-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
271,2003-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
272,2003-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
273,2003-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
274,2003-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
275,2003-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
