,REF_DATE,GEO,New housing price indexes,UOM,HPI_windsor_ont
265,2003-02,"Windsor, Ontario",House only,"Index, 201612=100",96.4
266,2003-03,"Windsor, Ontario",House only,"Index, 201612=100",96.4
267,2003-04,"Windsor, Ontario",House only,"Index, 201612=100",96.4
268,2003-05,"Windsor, Ontario",House only,"Index, 201612=100",96.4
269,2003-06,"Windsor, Ontario",House only,"Index, 201612=100",96.4
270,2003-07,"Windsor, Ontario",House only,"Index, 201612=100",96.4
271,2003-08,"Windsor, Ontario",House only,"Index, 201612=100",96.4
272,2003-09,"Windsor, Ontario",House only,"Index, 201612=100",96.4
273,2003-10,"Windsor, Ontario",House only,"Index, 201612=100",96.4
274,2003-11,"Windsor, Ontario",House only,"Index, 201612=100",96.4
275,2003-12,"Windsor, Ontario",House only,"Index, 201612=100",96.4
276,2004-01,"Windsor, Ontario",House only,"Index, 201612=100",96.4
277,2004-02,"Windsor, Ontario",House only,"Index, 201612=100",96.4
278,2004-03,"Windsor, Ontario",House only,"Index, 201612=100",96.4
279,2004-04,"Windsor, Ontario",House only,"Index, 201612=100",96.4
280,2004-05,"Windsor, Ontario",House only,"Index, 201612=100",96.4
281,2004-06,"Windsor, Ontario",House only,"Index, 201612=100",96.4
282,2004-07,"Windsor, Ontario",House only,"Index, 201612=100",96.5
283,2004-08,"Windsor, Ontario",House only,"Index, 201612=100",96.8
284,2004-09,"Windsor, Ontario",House only,"Index, 201612=100",97.0
285,2004-10,"Windsor, Ontario",House only,"Index, 201612=100",97.0
286,2004-11,"Windsor, Ontario",House only,"Index, 201612=100",97.0
287,2004-12,"Windsor, Ontario",House only,"Index, 201612=100",97.0
288,2005-01,"Windsor, Ontario",House only,"Index, 201612=100",97.4
289,2005-02,"Windsor, Ontario",House only,"Index, 201612=100",97.8
290,2005-03,"Windsor, Ontario",House only,"Index, 201612=100",97.0
291,2005-04,"Windsor, Ontario",House only,"Index, 201612=100",97.0
292,2005-05,"Windsor, Ontario",House only,"Index, 201612=100",97.8
293,2005-06,"Windsor, Ontario",House only,"Index, 201612=100",98.0
294,2005-07,"Windsor, Ontario",House only,"Index, 201612=100",98.0
295,2005-08,"Windsor, Ontario",House only,"Index, 201612=100",98.0
296,2005-09,"Windsor, Ontario",House only,"Index, 201612=100",98.0
297,2005-10,"Windsor, Ontario",House only,"Index, 201612=100",97.9
298,2005-11,"Windsor, Ontario",House only,"Index, 201612=100",97.9
299,2005-12,"Windsor, Ontario",House only,"Index, 201612=100",97.6
300,2006-01,"Windsor, Ontario",House only,"Index, 201612=100",98.2
301,2006-02,"Windsor, Ontario",House only,"Index, 201612=100",98.2
302,2006-03,"Windsor, Ontario",House only,"Index, 201612=100",98.2
303,2006-04,"Windsor, Ontario",House only,"Index, 201612=100",96.4
304,2006-05,"Windsor, Ontario",House only,"Index, 201612=100",96.8
305,2006-06,"Windsor, Ontario",House only,"Index, 201612=100",97.3
306,2006-07,"Windsor, Ontario",House only,"Index, 201612=100",97.9
307,2006-08,"Windsor, Ontario",House only,"Index, 201612=100",97.9
308,2006-09,"Windsor, Ontario",House only,"Index, 201612=100",97.9
309,2006-10,"Windsor, Ontario",House only,"Index, 201612=100",97.2
310,2006-11,"Windsor, Ontario",House only,"Index, 201612=100",96.1
311,2006-12,"Windsor, Ontario",House only,"Index, 201612=100",95.8
312,2007-01,"Windsor, Ontario",House only,"Index, 201612=100",95.8
313,2007-02,"Windsor, Ontario",House only,"Index, 201612=100",94.7
314,2007-03,"Windsor, Ontario",House only,"Index, 201612=100",95.6
315,2007-04,"Windsor, Ontario",House only,"Index, 201612=100",95.6
316,2007-05,"Windsor, Ontario",House only,"Index, 201612=100",95.2
317,2007-06,"Windsor, Ontario",House only,"Index, 201612=100",93.7
318,2007-07,"Windsor, Ontario",House only,"Index, 201612=100",92.9
319,2007-08,"Windsor, Ontario",House only,"Index, 201612=100",93.8
320,2007-09,"Windsor, Ontario",House only,"Index, 201612=100",93.4
321,2007-10,"Windsor, Ontario",House only,"Index, 201612=100",93.4
322,2007-11,"Windsor, Ontario",House only,"Index, 201612=100",93.4
323,2007-12,"Windsor, Ontario",House only,"Index, 201612=100",94.0
324,2008-01,"Windsor, Ontario",House only,"Index, 201612=100",94.0
325,2008-02,"Windsor, Ontario",House only,"Index, 201612=100",94.4
326,2008-03,"Windsor, Ontario",House only,"Index, 201612=100",94.3
327,2008-04,"Windsor, Ontario",House only,"Index, 201612=100",94.7
328,2008-05,"Windsor, Ontario",House only,"Index, 201612=100",94.4
329,2008-06,"Windsor, Ontario",House only,"Index, 201612=100",94.7
330,2008-07,"Windsor, Ontario",House only,"Index, 201612=100",94.7
331,2008-08,"Windsor, Ontario",House only,"Index, 201612=100",94.5
332,2008-09,"Windsor, Ontario",House only,"Index, 201612=100",94.5
333,2008-10,"Windsor, Ontario",House only,"Index, 201612=100",94.1
334,2008-11,"Windsor, Ontario",House only,"Index, 201612=100",94.4
335,2008-12,"Windsor, Ontario",House only,"Index, 201612=100",94.6
336,2009-01,"Windsor, Ontario",House only,"Index, 201612=100",94.6
337,2009-02,"Windsor, Ontario",House only,"Index, 201612=100",94.6
338,2009-03,"Windsor, Ontario",House only,"Index, 201612=100",94.6
339,2009-04,"Windsor, Ontario",House only,"Index, 201612=100",94.6
340,2009-05,"Windsor, Ontario",House only,"Index, 201612=100",94.6
341,2009-06,"Windsor, Ontario",House only,"Index, 201612=100",94.6
342,2009-07,"Windsor, Ontario",House only,"Index, 201612=100",95.1
