,REF_DATE,GEO,New housing price indexes,UOM,HPI_london_ont
395,2013-12,"London, Ontario",House only,"Index, 201612=100",92.8
396,2014-01,"London, Ontario",House only,"Index, 201612=100",92.8
397,2014-02,"London, Ontario",House only,"Index, 201612=100",93.2
398,2014-03,"London, Ontario",House only,"Index, 201612=100",93.2
399,2014-04,"London, Ontario",House only,"Index, 201612=100",93.2
400,2014-05,"London, Ontario",House only,"Index, 201612=100",93.6
401,2014-06,"London, Ontario",House only,"Index, 201612=100",93.9
402,2014-07,"London, Ontario",House only,"Index, 201612=100",94.2
403,2014-08,"London, Ontario",House only,"Index, 201612=100",94.4
404,2014-09,"London, Ontario",House only,"Index, 201612=100",95.0
405,2014-10,"London, Ontario",House only,"Index, 201612=100",95.0
406,2014-11,"London, Ontario",House only,"Index, 201612=100",95.3
407,2014-12,"London, Ontario",House only,"Index, 201612=100",95.9
408,2015-01,"London, Ontario",House only,"Index, 201612=100",96.4
409,2015-02,"London, Ontario",House only,"Index, 201612=100",96.0
410,2015-03,"London, Ontario",House only,"Index, 201612=100",95.9
411,2015-04,"London, Ontario",House only,"Index, 201612=100",95.6
412,2015-05,"London, Ontario",House only,"Index, 201612=100",95.6
413,2015-06,"London, Ontario",House only,"Index, 201612=100",95.6
414,2015-07,"London, Ontario",House only,"Index, 201612=100",95.9
415,2015-08,"London, Ontario",House only,"Index, 201612=100",96.1
416,2015-09,"London, Ontario",House only,"Index, 201612=100",96.1
417,2015-10,"London, Ontario",House only,"Index, 201612=100",96.1
418,2015-11,"London, Ontario",House only,"Index, 201612=100",96.2
419,2015-12,"London, Ontario",House only,"Index, 201612=100",96.2
420,2016-01,"London, Ontario",House only,"Index, 201612=100",96.7
421,2016-02,"London, Ontario",House only,"Index, 201612=100",97.1
422,2016-03,"London, Ontario",House only,"Index, 201612=100",98.0
423,2016-04,"London, Ontario",House only,"Index, 201612=100",98.0
424,2016-05,"London, Ontario",House only,"Index, 201612=100",98.0
425,2016-06,"London, Ontario",House only,"Index, 201612=100",98.0
426,2016-07,"London, Ontario",House only,"Index, 201612=100",97.8
427,2016-08,"London, Ontario",House only,"Index, 201612=100",98.3
428,2016-09,"London, Ontario",House only,"Index, 201612=100",98.5
429,2016-10,"London, Ontario",House only,"Index, 201612=100",98.6
430,2016-11,"London, Ontario",House only,"Index, 201612=100",100.1
431,2016-12,"London, Ontario",House only,"Index, 201612=100",100.0
432,2017-01,"London, Ontario",House only,"Index, 201612=100",101.1
