,REF_DATE,GEO,New housing price indexes,UOM,HPI_victoria_bc
345,2009-10,"Victoria, British Columbia",House only,"Index, 201612=100",103.9
346,2009-11,"Victoria, British Columbia",House only,"Index, 201612=100",103.5
347,2009-12,"Victoria, British Columbia",House only,"Index, 201612=100",103.2
348,2010-01,"Victoria, British Columbia",House only,"Index, 201612=100",103.1
349,2010-02,"Victoria, British Columbia",House only,"Index, 201612=100",103.1
350,2010-03,"Victoria, British Columbia",House only,"Index, 201612=100",103.7
351,2010-04,"Victoria, British Columbia",House only,"Index, 201612=100",104.0
352,2010-05,"Victoria, British Columbia",House only,"Index, 201612=100",103.6
353,2010-06,"Victoria, British Columbia",House only,"Index, 201612=100",103.5
354,2010-07,"Victoria, British Columbia",House only,"Index, 201612=100",103.5
355,2010-08,"Victoria, British Columbia",House only,"Index, 201612=100",103.5
356,2010-09,"Victoria, British Columbia",House only,"Index, 201612=100",103.0
357,2010-10,"Victoria, British Columbia",House only,"Index, 201612=100",103.3
358,2010-11,"Victoria, British Columbia",House only,"Index, 201612=100",102.8
359,2010-12,"Victoria, British Columbia",House only,"Index, 201612=100",102.7
360,2011-01,"Victoria, British Columbia",House only,"Index, 201612=100",102.7
361,2011-02,"Victoria, British Columbia",House only,"Index, 201612=100",102.7
362,2011-03,"Victoria, British Columbia",House only,"Index, 201612=100",102.7
363,2011-04,"Victoria, British Columbia",House only,"Index, 201612=100",101.7
364,2011-05,"Victoria, British Columbia",House only,"Index, 201612=100",101.9
365,2011-06,"Victoria, British Columbia",House only,"Index, 201612=100",101.9
366,2011-07,"Victoria, British Columbia",House only,"Index, 201612=100",101.9
367,2011-08,"Victoria, British Columbia",House only,"Index, 201612=100",101.4
368,2011-09,"Victoria, British Columbia",House only,"Index, 201612=100",101.4
369,2011-10,"Victoria, British Columbia",House only,"Index, 201612=100",100.6
370,2011-11,"Victoria, British Columbia",House only,"Index, 201612=100",100.4
371,2011-12,"Victoria, British Columbia",House only,"Index, 201612=100",100.4
372,2012-01,"Victoria, British Columbia",House only,"Index, 201612=100",99.3
373,2012-02,"Victoria, British Columbia",House only,"Index, 201612=100",99.3
374,2012-03,"Victoria, British Columbia",House only,"Index, 201612=100",98.6
375,2012-04,"Victoria, British Columbia",House only,"Index, 201612=100",98.6
376,2012-05,"Victoria, British Columbia",House only,"Index, 201612=100",97.5
377,2012-06,"Victoria, British Columbia",House only,"Index, 201612=100",98.3
378,2012-07,"Victoria, British Columbia",House only,"Index, 201612=100",98.1
379,2012-08,"Victoria, British Columbia",House only,"Index, 201612=100",97.9
380,2012-09,"Victoria, British Columbia",House only,"Index, 201612=100",97.3
381,2012-10,"Victoria, British Columbia",House only,"Index, 201612=100",97.7
382,2012-11,"Victoria, British Columbia",House only,"Index, 201612=100",97.0
383,2012-12,"Victoria, British Columbia",House only,"Index, 201612=100",96.9
