,REF_DATE,GEO,New housing price indexes,UOM,HPI_halifax_ns
157,1994-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.1
158,1994-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.1
159,1994-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.1
160,1994-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.6
161,1994-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.6
162,1994-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",57.9
163,1994-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.7
164,1994-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.7
165,1994-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.9
166,1994-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.1
167,1994-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.3
168,1995-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.3
169,1995-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.4
170,1995-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.5
171,1995-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.5
172,1995-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.7
173,1995-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.7
174,1995-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.7
175,1995-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.1
176,1995-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.1
177,1995-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.1
178,1995-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.3
179,1995-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.3
180,1996-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.3
181,1996-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.2
182,1996-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.0
183,1996-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.1
184,1996-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.3
185,1996-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.6
186,1996-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.7
187,1996-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.6
188,1996-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.6
189,1996-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.4
190,1996-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.4
191,1996-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.4
192,1997-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.0
193,1997-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.1
194,1997-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.1
195,1997-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.1
196,1997-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.2
197,1997-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.3
198,1997-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.3
199,1997-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.2
200,1997-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.0
201,1997-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.8
202,1997-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.9
203,1997-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.9
204,1998-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.8
205,1998-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.8
206,1998-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",58.8
207,1998-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.0
208,1998-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.5
209,1998-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.5
210,1998-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.6
211,1998-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.8
212,1998-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.8
213,1998-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.9
214,1998-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.9
215,1998-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",59.9
216,1999-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.8
217,1999-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.8
218,1999-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.8
219,1999-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.8
220,1999-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",60.9
221,1999-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",61.4
222,1999-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",61.9
223,1999-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",62.4
224,1999-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",62.4
225,1999-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",62.8
226,1999-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",63.1
227,1999-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",63.1
228,2000-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",63.1
229,2000-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",63.4
230,2000-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",63.4
231,2000-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",64.3
232,2000-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",64.3
233,2000-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",64.3
234,2000-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",64.4
235,2000-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",64.4
236,2000-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",64.1
237,2000-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",64.5
238,2000-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",65.3
239,2000-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",65.3
240,2001-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",65.7
241,2001-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",65.7
242,2001-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",65.7
243,2001-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",65.7
244,2001-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",65.8
245,2001-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",65.8
246,2001-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",65.8
247,2001-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",66.4
248,2001-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",66.4
249,2001-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",66.8
250,2001-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",67.1
251,2001-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",67.1
252,2002-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",67.6
253,2002-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",67.6
254,2002-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",67.6
255,2002-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",68.4
256,2002-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",68.5
257,2002-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",68.5
258,2002-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",68.7
259,2002-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",68.7
260,2002-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",68.8
261,2002-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",68.8
262,2002-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",69.2
263,2002-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",69.2
264,2003-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",69.9
265,2003-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",69.9
266,2003-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",69.9
267,2003-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",71.5
268,2003-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",71.8
269,2003-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",71.8
270,2003-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",71.8
271,2003-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",71.8
272,2003-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",71.8
