"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-01","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","110.8","","","","1"
"2021-01","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","142.3","","","","1"
"2021-04","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","122.0","","","","1"
"2021-04","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","123.7","E","","","1"
"2021-04","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","122.6","","","","1"
"2021-04","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","102.3","E","","","1"
"2021-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","137.2","","","","1"
"2021-04","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","131.2","","","","1"
"2021-04","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","79.4","","","","1"
"2021-04","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","87.9","","","","1"
"2021-04","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","111.9","","","","1"
"2021-04","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","142.6","","","","1"
"2021-07","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","124.2","","","","1"
"2021-07","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","126.4","E","","","1"
"2021-07","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","122.7","","","","1"
"2021-07","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","99.5","E","","","1"
"2021-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","140.4","","","","1"
"2021-07","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","134.8","","","","1"
"2021-07","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","80.5","","","","1"
"2021-07","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","88.4","","","","1"
"2021-07","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","112.8","","","","1"
"2021-07","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","145.3","","","","1"
"2021-10","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","126.3","","","","1"
"2021-10","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","123.0","E","","","1"
"2021-10","Montréal, Quebec","2016S0503462","Index, 2017=100","373","units","0","v1353834720","3","122.1","","","","1"
"2021-10","Québec, Quebec","2016S0503421","Index, 2017=100","373","units","0","v1353834721","4","97.7","E","","","1"
"2021-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Index, 2017=100","373","units","0","v1353834722","5","140.4","E","","","1"
"2021-10","Toronto, Ontario","2016S0503535","Index, 2017=100","373","units","0","v1353834723","6","138.0","","","","1"
"2021-10","Calgary, Alberta","2016S0503825","Index, 2017=100","373","units","0","v1353834724","7","80.9","","","","1"
"2021-10","Edmonton, Alberta","2016S0503835","Index, 2017=100","373","units","0","v1353834725","8","85.9","","","","1"
"2021-10","Vancouver, British Columbia","2016S0503933","Index, 2017=100","373","units","0","v1353834726","9","115.2","","","","1"
"2021-10","Victoria, British Columbia","2016S0503935","Index, 2017=100","373","units","0","v1353834727","10","143.8","E","","","1"
"2022-01","Nine census metropolitan area composite","","Index, 2017=100","373","units","0","v1353834718","1","128.3","","","","1"
"2022-01","Halifax, Nova Scotia","2016S0503205","Index, 2017=100","373","units","0","v1353834719","2","119.9","E","","","1"
